,title,text,location
0,"Meetings, rally to mark May Day today","PATNA: Various trade unions and organisations have made elaborate arrangements to celebrate the May Day on Wednesday. The Bihar unit of the Centre of Indian Trade Unions (CITU) has decided to issue a declaration paper on the occasion. The paper expresses concern over the increasing influence of the United States of America in the global affairs. In the name of containing terrorism, the US is interfering in the internal affairs of many countries, it said.

The CITU declaration has also criticised the communal violence in Gujarat and blamed Gujarat CM Narendra Modi and the Sangh Pariwar for creating communal tension for their political gains.

The state unit of Indian National Trade Union Congress (INTUC) has decided to hold a rally on the occasion of the May Day. Kamgar Mahila Samuh is organising a seminar on the role of women in trade union movements at the Gandhi Sangrahalaya. The Manavadhikar Sarankshan Pratisthan has decided to organise a survey on child labour in the state. The decision was taken at a meeting presided by former Bihar chief minister Jagannath Mishra.

Department of LSW, Patna University, is also expected to celebrate the May Day in a big way. PU vice-chancellor K K Jha is expected to preside over the function and former Union agriculture minister Chaturanan Mishra will address students, faculty members and representatives of various trade unions.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PATNA
1,'Power tariff policy within a month',"DHANBAD: State governments willing to supply power at a subsidised rate to the public will have to make budgetary provisions to make up for the losses to the respective state electricity boards. Giving this information to mediapersons here, Union energy minister Suresh P Prabhu said that the Union government is likely to announce a transparent regulation and tariff policy within a month.He was here on a two-day visit to DVC, Maithon and was talking to mediapersons at the Maithon DVC guest house on Sunday afternoon.The state electricity boards were losing about Rs 26,000 crore annually as they are being asked to supply power at a rate lower than the actual cost of generation and supply. But this cannot continue for long, he said, adding that the Electricity Regulatory Commission was preparing a tariff policy on the guidelines of the Union government. States willing to supply power at a rate lower than the tariff prescribed will have to make budgetary provisions to make up for the losses of the electricity boards, he said.According to him, all measures to improve the quality of power supplied and to bring a qualitative change in transmission and distribution system were being taken by the government. Power theft was the biggest impediment in proper development of the power projects, he said. Power worth Rs 20,000 crore to 25,000 crore was being pilfered annually. The government has taken this problem seriously and is soon going to adopt technologically advanced equipment to stop the theft of power. Nasscom, a technological consultant, has been asked to devise and install equipment to stop power theft, he informed.The energy minister stated that the government has decided to increase the power generation capacity by 40,000 MW in the 10th five-year plan from the existing level and has set a goal of power to all by 2012. The power generation capacity will have to be increased by 1 lakh MW to meet this goal, he said.He, however, clarified that taking a lesson from the Enron episode, the government would not provide any guarantee to any future power project. The DVC is to increase its generation capacity by 6,000 MW during the Tenth five-year plan and all the villages in the DVC command area would be electrified within two-three years, he said.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",DHANBAD
2,Bijapur Development Authority chief assaulted,"BIJAPUR: A gang of eight persons led by city Congress president LL Ustad and CMC president Gollappa Shetgar entered the Bijapur Development Authority (BDA) office on Tuesday and injured the commissioner BJ Poojar, after ransacking the office.

Poojar is said to be in a serious condition and he has been admitted to the ICU unit in a local hospital.

In a police complaint Poojar alleged that Ustad and Gollappa Shetgar along with six others assaulted him when he opposed the land mafia in the town.

He said the accused arrived in two vehicles and abused him. They warned him of dire consequences if he did not help them to get the work done. Ustad and Shetgar slapped Poojar and manhandled him. Poojar is reported to have fainted on the chair and was taken by the hospital staff, he said.

LL Ustad is the brother of Bijapur MLA ML Ustad.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",BIJAPUR
3,`Sonia ignored state farmers',"BANGALORE: Former legislator H N Nanje Gowda on Wednesday took exception to Congress president Sonia Gandhi providing relief from party funds to farmers in Andhra Pradesh while ignoring Karnataka.

She had visited Karnataka on the day she distributed foodgrains to drought-affected families in Ananthpur. ``It is surprising the AICC chief ignored Karnataka where her party is ruling and decided to give relief to farmers in another state,'''' he wondered.

The Veeresh committee report on farmers'' suicide was presented to the government the day Sonia visited Karnataka. Ironically, the committee told the government not to provide compensation to farmers, he said.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",BANGALORE
4,Packaging rehab with development,"AHMEDABAD: Kutch needs a long-term disaster-mitigation and drought-proofing programme and not mere relief and rehabilitation. The British agencies that came to the region after last year''s earthquake have discovered dovetailing relief and rehabilitation with development as the best practice.

As many as 12 of the 14 organisations under the Disasters Emergency Committee (DEC) have not stopped the relief and rehabilitation exercise after the initial phases. They prolonged their stay to help reduce vulnerability of the region and are planning to continue their work for at least another couple of years.

The umbrella organisation, which collected funds worth 24-million pounds from the Brits for Kutch, has recently come up with a report on ''Best Practices in Gujarat Earthquake Response Programme''. It points out the experience and evolution of the practices the agencies have identified and sets out the standards for humanitarian aids.

""This is indeed a best practice aimed at dovetailing relief with development, a recommendation oft made by the development practitioners. Another hallmark of the approach was the ambition of the agencies to improve,"" the report says.

These agencies, in the earlier phase itself, have realised that the rehabilitation and reconstruction must be seized as an opportunity to transform the underdeveloped region.

""We considered this as an opportunity for long-term disaster mitigation and drought proofing. We are into roof-top water harvesting and training village artisans for its installation, we constructed sub-surface dams, installed ground-water recharge structures and helped setting-up village development committees and village modernisation committees,"" says Usha Mishra-Joshi of Oxfam.

The agencies also learnt that besides being prone to several types of natural disasters - like drought, cyclone, flood and earthquake - the social structure of Kutch was complex with influence of caste system and communal dynamism. The agencies claim that they also focused on addressing issues related to reducing both geographical and socio-economic vulnerabilities.

The response to the earthquake was unique and cannot be compartmentalised as relief and rescue in strict sense, the agencies believed. Installation of water distribution systems and water harvesting structures and supply of fodder to cattle, which happened at the later part of the relief phase, cannot be categorised as activities of relief alone, they say.

The new areas which the agencies are focusing now include institutionalisation of health, water distribution systems and water harvesting structures.

The agencies also exercised caution in imposing alien and inappropriate practices. For disaster preparedness, a Community Disaster Mitigation Fund was set-up and seismic safety features were built in the shelters.

""Initially we did not have primary details and data of the region. It would have been better if we had gathered data... Besides, it would have been good had the donors been told as to what was really needed,"" says Donald Manish Burges of the Worldvision.

Some of the organisations have come up with three-to-four years of strategic development programmes as they want their efforts not to discontinue immediately after they leave. ""Our relations have improved with the government and we have learnt how to work together. After the initial effort, we are now focusing on sustainable development,"" says Randel Leek of Save the Children.

Concerted attempts at mitigating the chronic drought conditions and vulnerability to other natural disasters in this semi-arid region seem to continue for sometime.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",AHMEDABAD
5,Fight Modi's misrule: Sonia,"PORBUNDER: Congress president Sonia Gandhi on Wednesday urged the people of Gujarat to fight the ""injustice and misrule of the central and state governments. ""There is no better place than Gujarat, especially Porbunder, the birthplace of Mahatma Gandhi, to begin the fight,"" she said.

Addressing a largely attended public meeting at the Duleep cricket ground here, she attacked the central and state governments, saying ""if the government decides to end the violence, it could do so. But they were not interested in containing the violence in Gujarat as their eyes were on the elections. The brokers of power were on the rampage and innocent lives were lost.""

Braving the scorching heat, around 50,000 people attended the meeting.

Taking a dig at the rajdharma that the Prime Minister Atal Behari Vajpayee and Chief Minister Narendra Modi have claimed to be following in Gujarat, she said ""Is this the rajdharma that the prime minister was speaking about? We have learnt our lessons on rajdharma from leaders like Mahatma Gandhi, Sardar Vallabhbhai Patel, Jawaharlal Nehru, Indira Gandhi and Rajiv Gandhi.""

""We do not run our rajdharma on death and destruction. We run the rajdharma on the path of development,"" Sonia said.

She said Gujarat, the most industrialised state in the country, had gone backward due to the inefficiency of the current rulers.

""Those who are against humanity are the enemies of religion. No religion teaches to kill innocent people. The unabated violence in the state is a blot not only on our country but also on our character. Such violence should have no place in our society,"" she said.

She said the Godhra carnage was ""a shame on humanity, but the killings that followed were barbaric.""

Congress general secretary and in-charge of Gujarat affairs Kamal Nath said the evil face of the BJP has been exposed.

Gujarat Pradesh Congress Committee president Amarsinh Chaudhary was also present.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PORBUNDER
6,Look who’s made the Mahatma violent,"AHMEDABAD: It was a red-faced BJP government which stepped into the 43rd birth anniversary of Gujarat.

A glaring mistake in a government advertisement attributed the word â€˜violenceâ€™ in place of â€˜non-violenceâ€™ to Mahatma Gandhi, thereby changing the whole meaning of his message.

The advertisement was released to mark the foundation day of the state and appeared in several local dailies. It has a picture of the Mahatma with folded hands. Along with it is a comment: â€˜â€˜Violence is not a shield to hide cowardice â€” It is the greatest asset of the brave: Mahatma Gandhi.â€™â€™ Effectively, it means the apostle of peace actually advocated violence.

The advertisement should have said: â€˜â€˜Non-violence is not a shield to hide cowardice â€” It is the greatest asset of the braveâ€™â€™.

Thankfully, vernacular dailies used the term ahimsa which conveyed the actual meaning of what the Mahatma had said. The English dailies, however, received calls from angry readers asking whether this was a deliberate act to justify the â€˜â€˜state-sponsored violenceâ€™â€™ in Gujarat.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",AHMEDABAD
7,New BA syllabus more succinct,"NEW DELHI: The revision has come after 15 years. The revision process itself extended over six long years. But the new format of the BA (Hons) history syllabus which will be implemented this session, promises to be succinct and has a number of structural changes.

The syllabus was ratified at the Academic Council meeting held recently. The history department is now in the process of reorienting teachers to teach the new syllabus.

Although the number of papers has remained at nine, there have been many structural variations. Take for instance, the paper on â€˜â€˜Social formations and cultural patterns of the ancient and mediaeval worldâ€™â€™. This paper has been shifted from the third year to the first. This explains the patterns in countries other than India. R L Shukla, a history teacher, said this might pose problems for students fresh out of school as the paper is considered tough.

Similarly, the paper on â€˜â€˜History of China and Japanâ€™â€™ has been shifted from third to the first year. The idea behind this is to arrange the different sections chronologically according to the periods, said the head of the history department T K V Subramanian.

For those who want to take up history in college, there are other minor changes as well. A component of mapping has been

introduced in Course 1. â€˜â€˜The idea is to combine historical knowledge with cartography,â€™â€™ Subramanian said. This is in the direction of an inter-disciplinary approach.

The approach towards the subject has undergone a change too. Resource utilisation is linked to economic developments. Students will now be asked questions such as â€˜â€˜Explain temple as an instrument of state policyâ€™â€™, Subramanian added. â€˜â€˜Between the 12th and the 15th century, the wealth donated to a temple was a direct indication of the economic prosperity of a particular section of people,â€™â€™ he said.

He added that till now regional history was being neglected.

Students would opt out of it. This year onwards it has been made compulsory to attempt one

question from each section.

A few history teachers have, however, pointed out that the new syllabus offered sketchy information in many areas. A professor with the department S Chakarvarty said the Indian Nationalist Movement had been marginalised. Hence, a student who studies the new syllabus will not be taught about the formation of the Muslim League, Ghadar movement of Punjab, Home Rule movement of Annie Besant, the Lucknow Pact between the Muslim League and Congress, Simon Commission, Lahore Congress and the concept of purna swaraj, formation of

Congress Socialist Party, Meerut Conspiracy case, round table

conference, among other things,

he claimed.

Chakarvarty also alleged that the â€˜â€˜Imperial Stateâ€™â€™ had been ignored. A history student, he said would know little about personalities such as Dalhousie, Curzon or Hastings and hence lose out on understanding of the colonial power between 1919 and 1947, he added.

He went on to say that the matter under nationalism and social groups was vague. â€˜â€˜There are no names of personalities or organisations leaving teachers completely at sea,â€™â€™ he said.

A handful of teachers have also expressed their dissent with a unit titled â€˜â€˜Communalism: Ideologies and practicesâ€™â€™ where the Hindu Mahasabha, Muslim League, Rashtriya Swayamsevak Sangh and Akali Dal have been included. â€˜â€˜Most of these organisations

were not communal in nature in the earlier part of the 19th century, another teacher added.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
8,Now Nitish censures Gujarat govt,"PATNA: Samata Party leader and railway minister Nitish Kumar has questioned efficiency of the Narendra Modi led BJP government in Gujarat in containing the escalation of communal riots, which has resulted in the killing of a large number of people. He said Samata is â€œnot in favour of the removalâ€� of Gujarat chief minister Narendra Modi as it is an internal matter of the BJP. â€œThe Samata Party, however, is equally concerned over deteriorating situation in that state,â€� Kumar added. Kumar, who came here on a three-day visit, said the country is passing through a â€œstrange situation of confrontation on frivolous matters at the national level despite the fact that the country is passing through a critical phase because of military build-up on our borders and difficult economic condition.â€� â€œInstead of putting our heads together to face the situation, we are moving in different directions,â€� he added. He expressed pain and anguish over creation of confrontation by AICC president Sonia Gandhi in the country. He, without naming the alliance partners of the NDA, lambasted them for creating confusion to destabilise the Vajpayee government. Kumar blamed Gandhi for creating an atmosphere of confrontation at the national level by making â€œirresponsible statementsâ€�. While addressing a recent meeting of the Confederation of Indian Industries in New Delhi, she, reportedly, said that a huge presence of representatives of trade and commerce was signalling the change of political wind in the country.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PATNA
9,Higher disability among govt school children,"HYDERABAD: Most of the children studying in government schools, particularly the Balajyothi schools, look normal, but about 11 per cent of them suffer from multiple disabilities.

In a survey conducted in 51 Balajyothi schools, as many as 6,591 children were screened. Of them, 10.76 per cent were found to suffer from distinct physical and psychological problems. The disabilities among the children have been classified as oro facial anomalies (25); ear discharge and aches (183), abnormal voice (131); misarticulation (26); children who stutter (60); delayed speech and language (38) and children found having distinctly different speech and language problem (124). About 50 children were found suffering from low eye vision, mental retardation, cerebral palsy and physical disability including polio.

The Hyderabad district runs as many as 168 Balajyothi schools in which about 22,000 children are enrolled. Mana Centre, a non-governmental organisation working in the area of disabled children, said the volunteers got repeated complaints from the teachers about the childrenâ€™s problems. Following these complaints, Mana Centre had conducted a survey in September and October last year, and it was submitted to Hyderabad district collector in February 2002.

The report sought immediate help from the authorities for the children. â€œMost of the children are in the initial stages of disability who are called â€˜risk childrenâ€™. They need specific interventions to prevent them from becoming permanently disabled,â€� said secretary of Mana Centre, G Ravi Chandra Raju. According to him, the children need special counselling, aural education, and specific temporary aids that help children live on their own among others.

Speaking to The Times of India, district collector Rajeshwar Tiwari said special medical camps were being conducted regularly for the disabled, where irrespective of the age group, all are treated. With regard to special focus on children, the district administration proposes to take specific measures. â€œWe got funds under different literary schemes with which we want to divert our attention to disability among children,â€� said Rajeshwar Tiwari.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
